unique_id,ds,y
Store Store 1,2013-01-01,41077
Store Store 1,2013-02-01,41306
Store Store 1,2013-03-01,55827
Store Store 1,2013-04-01,61523
Store Store 1,2013-05-01,69272
Store Store 1,2013-06-01,71531
Store Store 1,2013-07-01,77527
Store Store 1,2013-08-01,69745
Store Store 1,2013-09-01,62408
Store Store 1,2013-10-01,59130
Store Store 1,2013-11-01,62465
Store Store 1,2013-12-01,46029
Store Store 1,2014-01-01,47788
Store Store 1,2014-02-01,47838
Store Store 1,2014-03-01,63729
Store Store 1,2014-04-01,71149
Store Store 1,2014-05-01,80108
Store Store 1,2014-06-01,82196
Store Store 1,2014-07-01,89389
Store Store 1,2014-08-01,79794
Store Store 1,2014-09-01,71134
Store Store 1,2014-10-01,68740
Store Store 1,2014-11-01,72506
Store Store 1,2014-12-01,52415
Store Store 1,2015-01-01,49842
Store Store 1,2015-02-01,49530
Store Store 1,2015-03-01,66056
Store Store 1,2015-04-01,74701
Store Store 1,2015-05-01,83523
Store Store 1,2015-06-01,84745
Store Store 1,2015-07-01,93969
Store Store 1,2015-08-01,83442
Store Store 1,2015-09-01,74389
Store Store 1,2015-10-01,72520
Store Store 1,2015-11-01,74292
Store Store 1,2015-12-01,54701
Store Store 1,2016-01-01,54559
Store Store 1,2016-02-01,55722
Store Store 1,2016-03-01,71565
Store Store 1,2016-04-01,81557
Store Store 1,2016-05-01,89502
Store Store 1,2016-06-01,92231
Store Store 1,2016-07-01,103027
Store Store 1,2016-08-01,88626
Store Store 1,2016-09-01,81444
Store Store 1,2016-10-01,78436
Store Store 1,2016-11-01,80578
Store Store 1,2016-12-01,60246
Store Store 1,2017-01-01,56086
Store Store 1,2017-02-01,56098
Store Store 1,2017-03-01,74037
Store Store 1,2017-04-01,85338
Store Store 1,2017-05-01,92248
Store Store 1,2017-06-01,96188
Store Store 1,2017-07-01,106187
Store Store 1,2017-08-01,92856
Store Store 1,2017-09-01,84759
Store Store 1,2017-10-01,80519
Store Store 1,2017-11-01,84500
Store Store 1,2017-12-01,62958
Store Store 2,2013-01-01,58520
Store Store 2,2013-02-01,59384
Store Store 2,2013-03-01,79609
Store Store 2,2013-04-01,87987
Store Store 2,2013-05-01,98361
Store Store 2,2013-06-01,102158
Store Store 2,2013-07-01,109645
Store Store 2,2013-08-01,97992
Store Store 2,2013-09-01,88673
Store Store 2,2013-10-01,84093
Store Store 2,2013-11-01,88874
Store Store 2,2013-12-01,64942
Store Store 2,2014-01-01,67315
Store Store 2,2014-02-01,67605
Store Store 2,2014-03-01,90547
Store Store 2,2014-04-01,101464
Store Store 2,2014-05-01,113269
Store Store 2,2014-06-01,116490
Store Store 2,2014-07-01,127024
Store Store 2,2014-08-01,113216
Store Store 2,2014-09-01,100340
Store Store 2,2014-10-01,97733
Store Store 2,2014-11-01,102805
Store Store 2,2014-12-01,73989
Store Store 2,2015-01-01,70879
Store Store 2,2015-02-01,70950
Store Store 2,2015-03-01,93004
Store Store 2,2015-04-01,106166
Store Store 2,2015-05-01,118780
Store Store 2,2015-06-01,119672
Store Store 2,2015-07-01,132807
Store Store 2,2015-08-01,118226
Store Store 2,2015-09-01,105423
Store Store 2,2015-10-01,102258
Store Store 2,2015-11-01,105985
Store Store 2,2015-12-01,78034
Store Store 2,2016-01-01,77392
Store Store 2,2016-02-01,78851
Store Store 2,2016-03-01,101595
Store Store 2,2016-04-01,115554
Store Store 2,2016-05-01,126603
Store Store 2,2016-06-01,131535
Store Store 2,2016-07-01,146393
Store Store 2,2016-08-01,125985
Store Store 2,2016-09-01,115018
Store Store 2,2016-10-01,110753
Store Store 2,2016-11-01,114705
Store Store 2,2016-12-01,85139
Store Store 2,2017-01-01,78544
Store Store 2,2017-02-01,79702
Store Store 2,2017-03-01,106083
Store Store 2,2017-04-01,120031
Store Store 2,2017-05-01,130474
Store Store 2,2017-06-01,136355
Store Store 2,2017-07-01,150105
Store Store 2,2017-08-01,131863
Store Store 2,2017-09-01,120038
Store Store 2,2017-10-01,114492
Store Store 2,2017-11-01,119358
Store Store 2,2017-12-01,89341
Store Store 3,2013-01-01,51972
Store Store 3,2013-02-01,52081
Store Store 3,2013-03-01,70069
Store Store 3,2013-04-01,77767
Store Store 3,2013-05-01,86664
Store Store 3,2013-06-01,90659
Store Store 3,2013-07-01,97233
Store Store 3,2013-08-01,87559
Store Store 3,2013-09-01,78653
Store Store 3,2013-10-01,74593
Store Store 3,2013-11-01,78754
Store Store 3,2013-12-01,57932
Store Store 3,2014-01-01,59674
Store Store 3,2014-02-01,60408
Store Store 3,2014-03-01,80280
Store Store 3,2014-04-01,90321
Store Store 3,2014-05-01,100332
Store Store 3,2014-06-01,103340
Store Store 3,2014-07-01,112166
Store Store 3,2014-08-01,101012
Store Store 3,2014-09-01,89139
Store Store 3,2014-10-01,86474
Store Store 3,2014-11-01,91540
Store Store 3,2014-12-01,65834
Store Store 3,2015-01-01,62932
Store Store 3,2015-02-01,63142
Store Store 3,2015-03-01,83320
Store Store 3,2015-04-01,93872
Store Store 3,2015-05-01,105244
Store Store 3,2015-06-01,106989
Store Store 3,2015-07-01,118281
Store Store 3,2015-08-01,104520
Store Store 3,2015-09-01,93956
Store Store 3,2015-10-01,90501
Store Store 3,2015-11-01,94132
Store Store 3,2015-12-01,69214
Store Store 3,2016-01-01,68337
Store Store 3,2016-02-01,70105
Store Store 3,2016-03-01,90646
